ID,Candidate,Constituency ∇,Party,Criminal Case,Total Assets,Liabilities,state,Education
748,Ishvarbhai Alias Anilbhai Ramanbhai Parmar,BARDOLI (SC),BJP,0,2 Crore+,25 Lac+,GUJARAT,10th Pass
749,Ramkesh,GANGAPUR,INC,1,63 Crore+,9 Crore+,RAJASTHAN,Post Graduate
750,K.K.S.S.R.Ramachandran,ARUPPUKOTTAI,DMK,9,4 Crore+,1 Crore+,TAMIL NADU,8th Pass
751,Murli Bhawara,BAGLI (ST),BJP,0,37 Lac+,13 Lac+,MADHYA PRADESH,Post Graduate
752,Anil Kumar Singh,PURWA,BJP,2,19 Crore+,5 Crore+,UTTAR PRADESH,12th Pass
753,Satish Kumar,MAKHDUMPUR (SC),RJD,8,22 Lac+,0,BIHAR,Graduate Professional
754,Kedar Kashyap,NARAYANPUR (ST),BJP,0,3 Crore+,25 Lac+,CHHATTISGARH,Post Graduate
755,Amresh Kumar,MOHANLALGANJ (SC),BJP,0,12 Crore+,0,UTTAR PRADESH,Graduate
756,E V Velu,TIRUVANNAMALAI,DMK,7,23 Crore+,4 Crore+,TAMIL NADU,Post Graduate
757,D Sudakar,HIRIYUR,INC,2,135 Crore+,114 Crore+,KARNATAKA,Graduate
758,Tapash Chatterjee,RAJARHAT NEW TOWN,AITC,2,3 Crore+,0,WEST BENGAL,Graduate
759,Vishwanath Atmaram Bhoir,KALYAN WEST,SHS,2,1 Crore+,20 Lac+,MAHARASHTRA,Graduate
760,Gopichand Meena,JAHAZPUR,BJP,5,1 Crore+,2 Lac+,RAJASTHAN,Graduate
761,Karuppanan.K.C,BHAVANI,AIADMK,0,18 Crore+,37 Lac+,TAMIL NADU,10th Pass
762,Kute Sanjay Shriram,JALGAON (JAMOD),BJP,0,6 Crore+,1 Crore+,MAHARASHTRA,Graduate Professional
763,Ajanta Neog,GOLAGHAT,BJP,0,2 Crore+,0,ASSAM,Post Graduate
764,Panneerselvam,SIRKAZHI (SC),DMK,11,2 Crore+,40 Lac+,TAMIL NADU,Post Graduate
765,Adsad Pratap Arunbhau,DHAMANGAON RAILWAY,BJP,3,4 Crore+,0,MAHARASHTRA,Graduate Professional
766,Angada Kanhar,PHULBANI,BJD,0,40 Lac+,0,ODISHA,8th Pass
767,H.V.Venkatesh,PAVAGADA (SC),INC,0,22 Crore+,6 Crore+,KARNATAKA,Graduate Professional
768,S.Ramachandran,ARANI,AIADMK,0,14 Crore+,3 Crore+,TAMIL NADU,12th Pass
769,Zubair Khan,RAMGARH,INC,4,19 Crore+,3 Crore+,RAJASTHAN,Post Graduate
770,Sushanta Mahato,BAGHMUNDI,AITC,0,13 Lac+,4 Lac+,WEST BENGAL,Post Graduate
771,Ziyauddin Rizvi,SIKANDERPUR,SP,3,3 Crore+,11 Lac+,UTTAR PRADESH,Graduate
772,Shashank Trivedi,MAHOLI,BJP,0,2 Crore+,0,UTTAR PRADESH,Graduate Professional
773,Biswanath Karak,GOGHAT (SC),BJP,8,25 Lac+,0,WEST BENGAL,12th Pass
774,Mayanglambam Rameshwar Singh,KAKCHING,NPP,0,5 Crore+,52 Lac+,MANIPUR,Post Graduate
775,Rajesh Dharmani,GHUMARWIN,INC,1,1 Crore+,3 Lac+,HIMACHAL PRADESH,Post Graduate
776,B.Z.Zameer Ahmed Khan,CHAMRAJAPET,INC,5,72 Crore+,42 Crore+,KARNATAKA,8th Pass
777,Purna Chandra Swain,SURADA,BJD,2,1 Crore+,29 Lac+,ODISHA,8th Pass
778,Dr. Dharmpal Singh,ETMADPUR,BJP,1,7 Crore+,0,UTTAR PRADESH,Doctorate
779,Parlad Singh Sawhney,CHANDNI CHOWK,AAP,0,0,5 Crore+,DELHI,12th Pass
780,Simarani Nayak,HINDOL,BJD,0,51 Lac+,4 Lac+,ODISHA,12th Pass
781,Thiruvanchoor Radhakrishnan,KOTTAYAM,INC,1,2 Crore+,1 Lac+,KERALA,Graduate Professional
782,Santa Mary Shylla,SUTNGA SAIPUNG (ST),NPP,0,3 Crore+,33 Lac+,MEGHALAYA,Graduate
783,Vinod Kandari,DEVPRAYAG,BJP,0,1 Crore+,7 Lac+,UTTARAKHAND,Post Graduate
784,S.Ravi,ARAKKONAM (SC),AIADMK,0,0,1 Crore+,TAMIL NADU,Graduate Professional
785,Yumnam Khemchand Singh,SINGJAMEI,BJP,0,2 Crore+,59 Lac+,MANIPUR,10th Pass
786,Sandeep Sahu,KASDOL,INC,0,0,0,CHHATTISGARH,Post Graduate
787,Bhaskar Sharma,MARGHERITA,BJP,0,11 Crore+,3 Crore+,ASSAM,10th Pass
788,Jitendra Chaudhury,SABROOM,CPI(M),3,2 Crore+,1 Lac+,TRIPURA,12th Pass
789,Abdur Rahim Boxi,MALATIPUR,AITC,1,4 Crore+,10 Lac+,WEST BENGAL,12th Pass
790,Ota Ram Dewasi,SIROHI,BJP,0,1 Crore+,16 Lac+,RAJASTHAN,8th Pass
791,Aleixo Sequeira,NUVEM,INC,0,0,5 Lac+,GOA,Graduate
792,Sathi Suryanarayana Reddy,ANAPARTHY,YSRCP,0,0,61 Lac+,ANDHRA PRADESH,Post Graduate
793,Nahid Hasan,KAIRANA,SP,16,3 Crore+,0,UTTAR PRADESH,Graduate Professional
794,Naba Kisore Das,JHARSUGUDA,BJD,0,33 Crore+,21 Crore+,ODISHA,Post Graduate
795,Tejpal Singh Nagar,DADRI,BJP,0,5 Crore+,9 Lac+,UTTAR PRADESH,Post Graduate
796,Jagtar Singh,SAMRALA,AAP,2,1 Crore+,9 Lac+,PUNJAB,10th Pass
797,Krishan Kumar Vishnoi (K.K. Vishnoi),GUDHA MALANI,BJP,0,21 Crore+,65 Lac+,RAJASTHAN,Graduate
798,Shahaji Patil,SANGOLA,SHS,0,1 Crore+,46 Lac+,MAHARASHTRA,Graduate Professional
799,Udailal Dangi,VALLABHNAGAR,BJP,8,10 Crore+,54 Lac+,RAJASTHAN,10th Pass
800,Ramkhiladi Singh,GUNNAUR,SP,9,4 Crore+,11 Lac+,UTTAR PRADESH,Graduate Professional
801,Dr. Sangram,ATRAULIYA,SP,5,3 Crore+,0,UTTAR PRADESH,Post Graduate
802,Barindermeet Singh Pahra,GURDASPUR,INC,0,1 Crore+,85 Lac+,PUNJAB,Others
803,Khajan Dass,RAJPUR ROAD (SC),BJP,0,2 Crore+,3 Lac+,UTTARAKHAND,8th Pass
804,Mehboob Ali,AMROHA,SP,1,7 Crore+,33 Lac+,UTTAR PRADESH,12th Pass
805,Wanglam Sawin,KHONSA EAST,BJP,0,84 Lac+,0,ARUNACHAL PRADESH,12th Pass
806,Budi Mutyala Naidu,MADUGULA,YSRCP,1,1 Crore+,5 Lac+,ANDHRA PRADESH,12th Pass
807,Govind Shepu Gaude,PRIOL,BJP,1,2 Crore+,29 Lac+,GOA,Others
808,Ram Vishun Singh,JAGDISHPUR,RJD,0,4 Crore+,19 Lac+,BIHAR,Graduate
809,Rabindranath Chatterjee,KATWA,AITC,0,2 Crore+,0,WEST BENGAL,Graduate
810,Mithilesh Kumar Thakur,GARHWA,JMM,2,10 Crore+,36 Lac+,JHARKHAND,Graduate
811,Ramavtar,CHAKSU (SC),BJP,0,0,24 Lac+,RAJASTHAN,10th Pass
812,Nagendra Singh,NAGOD,BJP,0,6 Crore+,0,MADHYA PRADESH,Graduate
813,Birendra Kumar,ROSERA (SC),BJP,0,1 Crore+,0,BIHAR,Graduate
814,Patel Mukeshkumar D.,MAHESANA,BJP,0,0,2 Crore+,GUJARAT,Graduate Professional
815,Ganesh Prakash Hukkeri,CHIKKODI-SADALGA,INC,0,17 Crore+,2 Crore+,KARNATAKA,Graduate Professional
816,Rajeev Kumar,MINAPUR,RJD,5,2 Crore+,50 Lac+,BIHAR,12th Pass
817,Kanai Chandra Mondal,NABAGRAM (SC),AITC,9,64 Lac+,4 Lac+,WEST BENGAL,Graduate
818,Ranjit Dutta,BEHALI,BJP,0,6 Crore+,61 Lac+,ASSAM,12th Pass
819,Rajendra Pareek,SIKAR,INC,0,2 Crore+,89 Lac+,RAJASTHAN,Graduate
820,Nanabhau Falgunrao Patole,SAKOLI,INC,7,2 Crore+,11 Lac+,MAHARASHTRA,12th Pass
821,K S Anand,KADUR,INC,2,4 Crore+,41 Lac+,KARNATAKA,Graduate
822,Mathura Prasad Mahato,TUNDI,JMM,0,0,0,JHARKHAND,10th Pass
823,Salona Kushwaha,TILHAR,BJP,2,12 Crore+,2 Crore+,UTTAR PRADESH,Post Graduate
824,Ankit Bharti,SAIDPUR (SC),SP,0,2 Crore+,1 Crore+,UTTAR PRADESH,Graduate
825,Jai Prakash Bhai Patel,MANDU,BJP,2,3 Crore+,62 Lac+,JHARKHAND,Graduate
826,Srinivas N T,KUDLIGI (ST),INC,0,15 Crore+,3 Crore+,KARNATAKA,Post Graduate
827,Periyasamy I,ATHOOR,DMK,12,7 Crore+,1 Crore+,TAMIL NADU,Graduate
828,Tarachand Jain,UDAIPUR,BJP,0,51 Crore+,7 Crore+,RAJASTHAN,12th Pass
829,Roji M John,ANGAMALY,INC,5,1 Crore+,19 Lac+,KERALA,Post Graduate
830,Rafeek Khan,ADARSH NAGAR,INC,1,51 Crore+,30 Crore+,RAJASTHAN,12th Pass
831,Jai Bhagwan,BAWANA,AAP,2,1 Crore+,1 Lac+,DELHI,12th Pass
832,Abdul Khaleque Molla,METIABURUZ,AITC,2,83 Lac+,2 Lac+,WEST BENGAL,10th Pass
833,Virendra Singh,DANTA RAMGARH,INC,0,6 Crore+,84 Lac+,RAJASTHAN,Graduate
834,Sri Krishan Hooda,BARODA,INC,0,24 Crore+,1 Crore+,HARYANA,8th Pass
835,Madhu Bangarappa,SORAB,INC,2,69 Crore+,26 Crore+,KARNATAKA,Graduate
836,Inder Singh,BALH (SC),BJP,0,3 Crore+,56 Lac+,HIMACHAL PRADESH,10th Pass
837,Anand Shankar Singh,AURANGABAD,INC,3,3 Crore+,9 Lac+,BIHAR,Post Graduate
838,Ram Kadam,GHATKOPAR WEST,BJP,2,46 Crore+,14 Crore+,MAHARASHTRA,12th Pass
839,Shweta Vidyadhar Mahale,CHIKHLI,BJP,1,0,63 Lac+,MAHARASHTRA,10th Pass
840,Prafulla Kumar Mallik,KAMAKHYANAGAR,BJD,1,31 Lac+,0,ODISHA,Graduate Professional
841,Vithal Somanna Halagekar,KHANAPUR,BJP,0,3 Crore+,2 Crore+,KARNATAKA,Graduate Professional
842,Diganta Kalita,KAMALPUR,BJP,3,3 Crore+,1 Crore+,ASSAM,Graduate
843,Sri Utpal Borah,GOHPUR,BJP,0,4 Crore+,1 Crore+,ASSAM,Graduate Professional
844,Chhote Lal Ray,PARSA,RJD,3,2 Crore+,13 Lac+,BIHAR,10th Pass
845,Eshwar Khandre,BHALKI,INC,7,0,58 Lac+,KARNATAKA,Graduate Professional
846,Dhavinder Singh,DALHOUSIE,BJP,0,15 Crore+,74 Lac+,HIMACHAL PRADESH,10th Pass
847,Suresh Kumar,BHORANJ (SC),INC,0,71 Lac+,0,HIMACHAL PRADESH,Post Graduate
848,Vishnu Vardhan Malladi,VIJAYAWADA CENTRAL,YSRCP,2,9 Crore+,2 Crore+,ANDHRA PRADESH,12th Pass
849,Daleema,AROOR,CPI(M),0,1 Crore+,0,KERALA,10th Pass
850,Indranil Sen,CHANDANNAGAR,AITC,0,9 Crore+,3 Crore+,WEST BENGAL,12th Pass
851,Sunil Prabhu,DINDOSHI,SHS,0,0,45 Lac+,MAHARASHTRA,10th Pass
852,Arup Kumar Das,KANTHI DAKSHIN,BJP,0,1 Crore+,0,WEST BENGAL,Post Graduate
853,Shambhu Nath Yadav,BRAHAMPUR,RJD,4,7 Crore+,13 Crore+,BIHAR,10th Pass
854,Somlung Mossang,BORDUMSA - DIYUM,IND,0,1 Crore+,0,ARUNACHAL PRADESH,10th Pass
855,Gaikwad Varsha Eknath,DHARAVI (SC),INC,1,4 Crore+,22 Lac+,MAHARASHTRA,Post Graduate
856,Remington Gabil Momin,RAMBRAI JYRNGAM (ST),IND,0,20 Lac+,6 Lac+,MEGHALAYA,Post Graduate
857,Sudivya Kumar,GIRIDIH,JMM,1,3 Crore+,52 Lac+,JHARKHAND,12th Pass
858,Jaykumar Jitendrasinh Rawal,SINDHKHEDA,BJP,2,16 Crore+,56 Lac+,MAHARASHTRA,Graduate
859,Bhikhusinhji Chatursinhji Parmar,MODASA,BJP,0,4 Crore+,2 Crore+,GUJARAT,10th Pass
860,Wailadmiki Shylla,JOWAI (ST),NPP,0,1 Crore+,0,MEGHALAYA,12th Pass
861,Sanjeev Kumar,OBRA (ST),BJP,0,4 Crore+,11 Lac+,UTTAR PRADESH,10th Pass
862,Dharmeswar Konwar,SONARI,BJP,0,1 Crore+,3 Lac+,ASSAM,12th Pass
863,Devender Kumar Nim,RAMPUR MANIHARAN (SC),BJP,0,5 Crore+,30 Lac+,UTTAR PRADESH,Graduate
864,Bharat Bhushan Mandal,LAUKAHA,RJD,0,2 Crore+,0,BIHAR,Post Graduate
865,Abdul Karim Chowdhary,ISLAMPUR,AITC,4,1 Crore+,14 Lac+,WEST BENGAL,12th Pass
866,Mailafru Mog,MANU (ST),BJP,1,4 Lac+,0,TRIPURA,8th Pass
867,Ramswaroop Lamba,NASIRABAD,BJP,0,3 Crore+,1 Crore+,RAJASTHAN,Graduate
868,Madhusudan Bag,ARAMBAG (SC),BJP,1,49 Lac+,20 Lac+,WEST BENGAL,Post Graduate
869,Rupa M. Marak,DADENGGRE (ST),AITC,0,5 Lac+,0,MEGHALAYA,Graduate
870,Bankim Chandra Hazra,SAGAR,AITC,0,90 Lac+,0,WEST BENGAL,Post Graduate
871,Sawarkar Tekchand Shrawan,KAMTHI,BJP,0,2 Crore+,9 Lac+,MAHARASHTRA,10th Pass
872,Raja E,SANKARANKOVIL (SC),DMK,3,6 Crore+,38 Lac+,TAMIL NADU,Post Graduate
873,Kolagatla Veerabhadra Swamy,VIZIANAGARAM,YSRCP,3,13 Crore+,3 Crore+,ANDHRA PRADESH,12th Pass
874,Rekibuddin Ahmed,CHAYGAON,INC,5,3 Crore+,61 Lac+,ASSAM,12th Pass
875,Vivek Gupta,JORASANKO,AITC,0,31 Crore+,0,WEST BENGAL,Graduate
876,Bhagabhai Dhanabhai Barad,TALALA,BJP,0,12 Crore+,89 Lac+,GUJARAT,Graduate
877,C. Manpon Konyak,ABOI (ST),IND,0,14 Lac+,0,NAGALAND,Post Graduate
878,Sambangi Venkata China Appala Naidu,BOBBILI,YSRCP,0,5 Crore+,27 Lac+,ANDHRA PRADESH,12th Pass
879,Prabodh Minz,LUNDRA (ST),BJP,0,5 Crore+,6 Lac+,CHHATTISGARH,Others
880,Thopudurthy Prakash Reddy,RAPTADU,YSRCP,5,2 Crore+,1 Lac+,ANDHRA PRADESH,Graduate Professional
881,Tribhuwan Dutt,ALAPUR (SC),SP,1,3 Crore+,1 Crore+,UTTAR PRADESH,12th Pass
882,Hans Raj,CHURAH (SC),BJP,2,2 Crore+,36 Lac+,HIMACHAL PRADESH,Doctorate
883,Bishal Lama,KALCHINI (ST),BJP,6,8 Lac+,3 Lac+,WEST BENGAL,Graduate
884,Pranajit Singha Roy,RADHAKISHORPUR,BJP,0,7 Crore+,21 Lac+,TRIPURA,Graduate
885,Jitendra Majumder,KAKRABAN-SHALGARA (SC),BJP,1,68 Lac+,35 Lac+,TRIPURA,Graduate
886,Vinay Mishra,DWARKA,AAP,0,7 Crore+,78 Lac+,DELHI,Post Graduate
887,Vijay Rahangdale,TIRORA,BJP,3,0,9 Lac+,MAHARASHTRA,Graduate
888,Ramratan Kushwaha,LALITPUR,BJP,2,3 Crore+,15 Lac+,UTTAR PRADESH,Graduate Professional
889,Ranjit Prataprao Kamble,DEOLI,INC,0,18 Crore+,1 Crore+,MAHARASHTRA,Post Graduate
890,Dr. Vimlesh Paswan,BANSGAON (SC),BJP,0,26 Crore+,2 Crore+,UTTAR PRADESH,Post Graduate
891,Rameshwar Sharma,HUZUR,BJP,1,8 Crore+,3 Crore+,MADHYA PRADESH,Graduate
892,Ram Niwas Goel,SHAHDARA,AAP,1,4 Crore+,8 Lac+,DELHI,Graduate
893,Avtar Singh Junior,JALANDHAR NORTH,INC,0,33 Crore+,0,PUNJAB,12th Pass
894,Ronnie V. Lyngdoh,MYLLIEM (ST),INC,0,52 Lac+,12 Lac+,MEGHALAYA,12th Pass
895,Sandeep Singh,MEJA,SP,3,11 Crore+,3 Crore+,UTTAR PRADESH,Graduate
896,Pratima Kumari,RAJA PAKAR (SC),INC,1,94 Lac+,17 Lac+,BIHAR,Graduate Professional
897,Shampa Dhara,RAINA (SC),AITC,0,3 Lac+,0,WEST BENGAL,Graduate
898,Dinesh,HASTINAPUR (SC),BJP,4,2 Crore+,47 Lac+,UTTAR PRADESH,8th Pass
899,Santosh Singh Saluja,KANTABANJI,INC,7,0,7 Lac+,ODISHA,Graduate
900,Avinash Umesh Jadhav,CHINCHOLI (SC),BJP,0,2 Crore+,96 Lac+,KARNATAKA,Graduate Professional
901,Sharanu Salagar,BASAVAKALYAN,BJP,1,4 Crore+,46 Lac+,KARNATAKA,Post Graduate
902,Sahab Singh Gurjar,GWALIOR RURAL,INC,6,27 Crore+,15 Lac+,MADHYA PRADESH,Graduate
903,Brajesh Kumar,MOHAN (SC),BJP,0,4 Crore+,7 Lac+,UTTAR PRADESH,Post Graduate
904,Brening A. Sangma,DALU (ST),NPP,0,16 Crore+,0,MEGHALAYA,Graduate
905,Naresh Balyan,UTTAM NAGAR,AAP,0,56 Crore+,19 Lac+,DELHI,8th Pass
906,Ram Singh,BAGAHA,BJP,1,1 Crore+,2 Lac+,BIHAR,12th Pass
907,Nirmal Biswas,KHOWAI,CPI(M),0,27 Lac+,25 Lac+,TRIPURA,Graduate
908,Vijay Kumar Choudhary,SARAIRANJAN,JD(U),0,0,0,BIHAR,Post Graduate
909,Kalyan Ghosh,DOMJUR,AITC,2,5 Crore+,13 Lac+,WEST BENGAL,12th Pass
910,Viswasarayi Kalavathi,PALAKONDA,YSRCP,0,1 Crore+,10 Lac+,ANDHRA PRADESH,Post Graduate
911,Usha Maurya,HUSAINGANJ,SP,0,1 Crore+,0,UTTAR PRADESH,12th Pass
912,Pradeep Kumar Yadav,DIBIYAPUR,SP,2,6 Crore+,20 Lac+,UTTAR PRADESH,Graduate Professional
913,Deepchand Khairiya,KISHANGARH BAS,INC,0,3 Crore+,0,RAJASTHAN,Graduate Professional
914,Md. Achab Uddin,JIRIBAM,JD(U),0,0,28 Lac+,MANIPUR,12th Pass
915,Kalpana Devi,LADPURA,BJP,0,56 Crore+,2 Crore+,RAJASTHAN,12th Pass
916,Mahendra,HASANPUR,BJP,0,1 Crore+,21 Lac+,UTTAR PRADESH,8th Pass
917,Veena George,ARANMULA,CPI(M),0,2 Crore+,1 Crore+,KERALA,Post Graduate
918,Thongam Shanti Singh,MOIRANG,NPP,0,7 Crore+,0,MANIPUR,12th Pass
919,Dr Tseilhoutuo Rhutso (Dr Ato),KOHIMA TOWN (ST),NPP,0,22 Crore+,0,NAGALAND,Post Graduate
920,N. Chaluvarayaswamy,NAGAMANGALA,INC,1,71 Crore+,16 Crore+,KARNATAKA,10th Pass
921,Ram Sahay Varma (Regar),NIWAI (SC),BJP,0,2 Crore+,0,RAJASTHAN,12th Pass
922,Shrichand Kriplani,NIMBAHERA,BJP,0,5 Crore+,1 Crore+,RAJASTHAN,Graduate
923,Biyuram Wahge,PAKKE KESSANG,BJP,0,7 Crore+,29 Lac+,ARUNACHAL PRADESH,10th Pass
924,A .K Saseendran,ELATHUR,NCP,0,2 Crore+,0,KERALA,10th Pass
925,Moatoshi Longkumer,DIMAPUR-II (ST),NDPP,0,6 Crore+,19 Lac+,NAGALAND,Post Graduate
926,Tulsiram Silawat,SANWER (SC),BJP,1,14 Crore+,11 Lac+,MADHYA PRADESH,Post Graduate
927,Aditya Madhi,MALKANGIRI,BJP,0,12 Lac+,80 Thou+,ODISHA,12th Pass
928,Mahesh Chandra Gupta,BADAUN,BJP,0,5 Crore+,28 Lac+,UTTAR PRADESH,10th Pass
929,Rajkumar Mev,MAHESHWAR (SC),BJP,1,6 Crore+,67 Lac+,MADHYA PRADESH,12th Pass
930,Devkishordasji Bhaktisvarupdasji Swami,JAMBUSAR,BJP,0,99 Lac+,71 Lac+,GUJARAT,Post Graduate
931,Aranii Srenevasulu,CHITTOOR,YSRCP,4,79 Crore+,7 Crore+,ANDHRA PRADESH,12th Pass
932,Narayan Prasad,NAUTAN,BJP,0,1 Crore+,7 Lac+,BIHAR,10th Pass
933,Vikas Kumar Munda,TAMAR (ST),JMM,0,51 Lac+,19 Lac+,JHARKHAND,Graduate
934,Dung Hardeep Singh,SUWASRA,BJP,0,1 Crore+,30 Lac+,MADHYA PRADESH,Post Graduate
935,Ashish Nandkishor Jaiswal,RAMTEK,IND,1,5 Crore+,85 Lac+,MAHARASHTRA,Graduate Professional
936,Anitha R. Radhakrishnan,TIRUCHENDUR,DMK,16,5 Crore+,67 Lac+,TAMIL NADU,10th Pass
937,Saokat Molla,CANNING PURBA,AITC,0,3 Crore+,48 Lac+,WEST BENGAL,Graduate
938,Bhimanagouda (Rajugouda) Basanagouda Patil,DEVARA HIPPARGI,JD(S),0,4 Crore+,1 Crore+,KARNATAKA,Graduate
939,Tapasi Mondal,HALDIA (SC),BJP,0,81 Lac+,0,WEST BENGAL,10th Pass
940,Kulwant Singh Sidhu,ATAM NAGAR,AAP,0,17 Crore+,40 Lac+,PUNJAB,Graduate Professional
941,Mekapati Goutham Reddy,ATMAKUR,YSRCP,3,61 Crore+,1 Lac+,ANDHRA PRADESH,Post Graduate
942,Botcha Appalanarasayya,GAJAPATHINAGARAM,YSRCP,0,9 Crore+,40 Lac+,ANDHRA PRADESH,Graduate Professional
943,Jawahar Lal Rajput,GARAUTHA,BJP,1,2 Crore+,32 Lac+,UTTAR PRADESH,Graduate Professional
944,Rajendra Prasad Chaudhary,RUDHAULI,SP,1,11 Crore+,4 Crore+,UTTAR PRADESH,Post Graduate
945,Lakhanlal Devangan,KORBA,BJP,0,0,0,CHHATTISGARH,12th Pass
946,A C Srinivasa,PULAKESHINAGAR (SC),INC,0,187 Crore+,111 Crore+,KARNATAKA,Graduate
947,Ramdas Soren,GHATSILA (ST),JMM,5,9 Crore+,6 Lac+,JHARKHAND,Graduate
948,Madhavendra Pratap Singh,SAWAYAZPUR,BJP,0,11 Crore+,25 Lac+,UTTAR PRADESH,Graduate
949,Tripat Rajinder Singh,FATEHGARH CHURIAN,INC,0,0,2 Crore+,PUNJAB,Graduate
950,Manish Kumar Alias Mantu,PADRAUNA,BJP,0,21 Crore+,16 Lac+,UTTAR PRADESH,Graduate
951,Chandrakant Bachhu Patil,KOTHRUD,BJP,2,5 Crore+,42 Lac+,MAHARASHTRA,Graduate
952,Rakesh Singh,JABALPUR PASCHIM,BJP,0,4 Crore+,0,MADHYA PRADESH,Graduate
953,Gotam Tetwal,SARANGPUR (SC),BJP,1,89 Lac+,0,MADHYA PRADESH,Graduate
954,Navin Jaiswal,HATIA,BJP,1,5 Crore+,1 Crore+,JHARKHAND,12th Pass
955,Devendra Singh Lodhi,SYANA,BJP,0,3 Crore+,28 Lac+,UTTAR PRADESH,Graduate Professional
956,Vinod Kumar,PILIBANGA (SC),INC,0,36 Lac+,12 Lac+,RAJASTHAN,Graduate Professional
957,Kalipada Mandal,SHYAMPUR,AITC,0,83 Lac+,0,WEST BENGAL,Graduate Professional
958,Udhayasuriyan T,SANKARAPURAM,DMK,38,8 Crore+,1 Crore+,TAMIL NADU,Graduate
959,Dr Mosarraf Hossain,MURARAI,AITC,0,3 Crore+,16 Lac+,WEST BENGAL,Graduate Professional
960,Munna Singh Chauhan,VIKASNAGAR,BJP,0,6 Crore+,1 Crore+,UTTARAKHAND,Post Graduate
961,Shankar Oram,BIRAMITRAPUR,BJP,2,99 Lac+,10 Lac+,ODISHA,10th Pass
962,Keyur Narayandas Rokadia,SAYAJIGUNJ,BJP,0,10 Crore+,0,GUJARAT,Post Graduate
963,Saba.Rajendran,NEYVELI,DMK,7,0,72 Lac+,TAMIL NADU,Graduate Professional
964,Nakap Nalo,NACHO,BJP,0,1 Crore+,0,ARUNACHAL PRADESH,Post Graduate
965,Anil Bhaidas Patil,AMALNER,NCP,4,5 Crore+,90 Lac+,MAHARASHTRA,Post Graduate
966,Purandar Mishra,RAIPUR CITY NORTH,BJP,0,11 Crore+,4 Crore+,CHHATTISGARH,Doctorate
967,Aashish Govind Sharma,KHATEGAON,BJP,0,1 Crore+,14 Lac+,MADHYA PRADESH,Post Graduate
968,Gurme Suresh Shetty,KAPU,BJP,3,33 Crore+,3 Crore+,KARNATAKA,Graduate
969,Satpal Maharaj,CHAUBATTAKHAL,BJP,0,0,0,UTTARAKHAND,12th Pass
970,Rupsing Teron,BAITHALANGSO (ST),BJP,0,75 Lac+,0,ASSAM,Graduate
971,Asim Arun,KANNAUJ (SC),BJP,0,8 Crore+,0,UTTAR PRADESH,Post Graduate
972,Surya Pratap Shahi,PATHARDEVA,BJP,0,6 Crore+,0,UTTAR PRADESH,Graduate Professional
973,G Hampayya Nayak,MANVI (ST),INC,0,2 Crore+,34 Lac+,KARNATAKA,10th Pass
974,Shafi Parambil,PALAKKAD,INC,25,56 Lac+,13 Lac+,KERALA,Post Graduate
975,Birendra Singh,WAZIRGANJ,BJP,2,1 Crore+,3 Lac+,BIHAR,Graduate
976,Om Prakash Sharma,VISHWAS NAGAR,BJP,2,24 Crore+,3 Crore+,DELHI,Graduate
977,Hansraj Patel,KOTPUTLI,BJP,0,3 Crore+,0,RAJASTHAN,8th Pass
978,Purushottam Khandelwal,AGRA NORTH,BJP,0,1 Crore+,0,UTTAR PRADESH,10th Pass
979,Pawan Sharma,ADARSH NAGAR,AAP,2,1 Crore+,9 Lac+,DELHI,12th Pass
980,Abdul Wahab .M,PALAYAMKOTTAI,DMK,26,2 Crore+,20 Lac+,TAMIL NADU,Graduate
981,Dr Vishwanath Meghwal,KHAJUWALA (SC),BJP,0,2 Crore+,44 Lac+,RAJASTHAN,Graduate Professional
982,Ramkumar Yadav,CHANDRAPUR,INC,0,10 Lac+,0,CHHATTISGARH,8th Pass
983,Yogeshwar Raju Sinha,MAHASAMUND,BJP,1,12 Crore+,1 Crore+,CHHATTISGARH,Graduate
984,Rampal Verma,BALAMAU (SC),BJP,1,4 Crore+,12 Lac+,UTTAR PRADESH,Post Graduate
985,Govind Singh Rajput,SURKHI,BJP,2,14 Crore+,2 Crore+,MADHYA PRADESH,Post Graduate
986,Gurveer Singh,SADULSHAHAR,BJP,0,4 Crore+,0,RAJASTHAN,Graduate Professional
987,Roopa Kala. M,KOLAR GOLD FIELD (SC),INC,2,12 Crore+,1 Crore+,KARNATAKA,Post Graduate
988,Ramniwas Gawriya,PARBATSAR,INC,5,1 Crore+,23 Lac+,RAJASTHAN,Post Graduate
989,L.M. Khaute,CHURACHANDPUR (ST),JD(U),0,7 Crore+,10 Lac+,MANIPUR,Post Graduate
990,Atanasio Monserrate,PANAJI,BJP,3,48 Crore+,6 Crore+,GOA,12th Pass
991,Guru Khushwant Saheb,ARANG (SC),BJP,0,2 Crore+,1 Crore+,CHHATTISGARH,Post Graduate
992,Madhu Bhau Bhagat,PARASWADA,INC,1,31 Lac+,0,MADHYA PRADESH,12th Pass
993,Sudam Marndi,BANGRIPOSI,BJD,11,2 Crore+,5 Lac+,ODISHA,12th Pass
994,Kunwer Singh Nishad,GUNDERDEHI,INC,0,54 Lac+,3 Lac+,CHHATTISGARH,Post Graduate
995,Bimalendu Sinha Roy,KARIMPUR,AITC,0,2 Crore+,3 Lac+,WEST BENGAL,Post Graduate
